ID,Nombre Producto,Cantidad,Precio,Codigo de barras propio,Categoria
1000102,Agility Gold Comida Humeda Perro Pavo,0,4200,0,Comida Humeda
1000103,Anticloro X20ML,1,3500,0,Aseo
1000104,Antihongo X20ML,5,3500,0,Aseo
1000105,Arnes Cubierto Con Lazo con Corbatin,3,15000,0,Accesorios
1000106,Arnes Cubierto Con Lazo Grande,1,20000,0,Accesorios
1000107,Arnes Cubierto Con Lazo Pequeña,1,15000,0,Accesorios
1000108,Arnes Grande - Paracaidas de pulgada,9,17000,0,Accesorios
1000109,Arnes Mediano - Paracaidas 3/4,5,13000,0,Accesorios
1000110,Arnes pequeño - Paracaidas Pincher,4,9000,0,Accesorios
1000111,Arnes Paracaidas Gato,4,7000,0,Accesorios
1000112,Arnes Pitbull,0,30000,0,Accesorios
1000113,Azul de Metileno pez X20ml,3,3500,0,Aseo
5012345678900,Baño Seco Peludos X45ML,7,2500,1,Aseo
1000115,Bebedero Retractil,3,7000,0,Accesorios
7702123700579,Bolfo Collar Insecticida,2,35000,1,Accesorios
1000117,Bozal de copa Talla 1,2,3000,0,Accesorios
1000118,Bozal de copa Talla 6,2,14000,0,Accesorios
1000119,Cañas de Gato Madera con Plumas,1,7000,0,Juguetes
1000120,Cañas de Gato Madera con Raton,3,8000,0,Juguetes
1000121,Cañas de Gato platica con Plumas,2,6000,0,Juguetes
1000122,Cañas de Gato platica con Pompon Larga,3,7000,0,Juguetes
1000123,Chunky Comida Humeda Gato Carne,0,3200,0,Comida Humeda
7707205153489,Chunky Comida Humeda Gato Pollo,1,3200,1,Comida Humeda
1000125,Chunky Comida Humeda Gato Salmón,0,3200,0,Comida Humeda
7707205153434,Chunky Comida Humeda Perro Carne,3,3200,1,Comida Humeda
7707205153458,Chunky Comida Humeda Perro Pavo,0,3200,1,Comida Humeda
7707205151577,Chunky Pate Lata Perro Pollo 400gm,6,9000,1,Comida Humeda
1000129,Collar Cuero Delgado,4,10000,0,Accesorios
1000130,Collar en Cadena Grande,1,18000,0,Accesorios
1000131,Collar en Cadena Pequeño,0,16000,0,Accesorios
